class_name,descriptions
Band cell,"Single smooth curved structure with uniform thickness, forming a C- or S-shaped contour, unsegmented, rendered in purple-violet tones against a light, uniform background."
Basophil,"Single compact rounded structure with minimal curvature, unsegmented, having smooth outer boundaries and a dense interior texture, rendered in deep purple to blue-purple tones against a light, uniform background."
Blast,"Single round to slightly oval unsegmented structure with a dominant central region, a finely textured interior, and a thin lighter surrounding rim, rendered in purple-blue tones with occasional small pink linear accents against a light, uniform background."
Echinocyte,"Single roughly circular unsegmented structure with multiple short, evenly spaced outward projections forming a softly serrated outer boundary, a smoother central region, and a lighter pink center surrounded by a deeper purple outer zone, set against a pale green background."
Elliptocyte,"Multiple elongated rod-like structures with gentle curvature, separate but clustered or overlapping, with smooth rounded ends and uniform thickness, rendered in purple-violet tones against a light, uniform background."
Eosinophil,"Single rounded to slightly irregular structure with multiple internal lobes, a deeply colored central region and lighter surrounding area, with a coarse granular interior texture, rendered in deep purple tones with subtle reddish highlights against a pale, uniform background."
Large platelet,"Single rounded structure with a dark purple-blue central region fading into lighter green and pastel tones, exhibiting a diffuse cloud-like texture, against a smooth multicolored background."
Lymphocyte,"Single round to oval continuous structure with a dense deep purple central region occupying most of the shape, surrounded by a very thin lighter rim, with smooth even surfaces, rendered uniformly against a pale background."
Macrocyte,"Single round continuous structure with a pale central area surrounded by a slightly darker purple-pink outer ring, with smooth to mildly irregular edges, rendered against a light background."
Metamyelocyte,"Single relatively large continuous structure with a prominent central region exhibiting an irregular folded or kidney-like contour, surrounded by a pale lightly colored area with slightly textured surfaces, rendered in deep purple for the center and lighter tones for the periphery against a light background."
Microcyte,"Single continuous roughly circular structure with a lighter central area surrounded by a darker purple-pink outer ring, with soft-edged slightly grainy surfaces, rendered against a light background."
Monocyte,"Single relatively large continuous structure with a prominent dark purple central region and lighter surrounding area, with central shapes ranging from round to irregular and slightly folded or indented surfaces, rendered against a pale background."
Myelocyte,"Single relatively large continuous structure with a prominent dark purple central region of varying shape, surrounded by a lighter purple area with fine evenly distributed internal texture, positioned among faint pale circular forms against a light background."
Neutrophil,"Single medium-sized continuous structure with a distinctly segmented dark purple central region, surrounded by a lightly tinted purple area with fine subtle internal texture and a clear peripheral region, rendered against a pale softly textured background with faint circular forms."
Normocyte,"Single continuous circular to slightly oval ring-like structure with a darker outer boundary and lighter central region, smooth, symmetric, and slightly blurred, rendered in soft purple–bluish tones against a pale uniform background."
Nucleated RBCs,"Single rounded to slightly irregular continuous structure with a prominent dark blue–purple central region, surrounded by a faint lighter halo and softer lightly stained outer area, rendered against a pale uniform background."
Platelet clump,"Multiple small continuous round to slightly irregular elements, separate or closely clustered, with soft edges and slight size variation, rendered in purple to violet tones forming isolated points or dense grainy aggregates, against a pale uniform background."
Platelet,"Single small continuous rounded to slightly irregular structure with a dense dark central region and faintly colored peripheral area, showing subtle internal variation, rendered in purple tones against a pale uniform background."
Polychromatophil,"Single continuous round to oval structures with either a lighter central area or evenly colored interior, smooth surfaces with subtle internal texture, rendered in purple tones against a pale uniform background."
Promyelocyte,"Single continuous round to oval structure with a darker purple central region and lighter peripheral area, soft-edged slightly grainy surfaces, and minor variation in shape and staining, rendered against a light uniform background."
Reactive Lymphocyte,"Single continuous irregular oval to rounded structure with a dense central region and slightly lighter surrounding area, soft-edged mildly grainy surfaces, and natural shape variation, rendered in purple tones against a pale uniform background."
Rouleaux,"Multiple small continuous irregular structures, separate or loosely clustered, ranging from rounded to elongated or branching forms, with soft-edged slightly blurry surfaces, uneven staining, and lacking clear internal detail, rendered in purple tones against a pale uniform background."
Schistocyte,"Multiple small continuous irregular structures, separate or loosely scattered, with rounded, lobed, or crescent-like shapes, soft-edged, slightly blurry and grainy surfaces, rendered in pink-to-purple tones against a pale uniform background."
Sickle Cell,"Single elongated continuous structure with a crescent- to sickle-like shape and tapered ends, slightly denser central region, uniformly stained in purple tones with soft smooth edges, appearing singly or in small clusters against a pale even background."
Smudge Cell,"Single continuous irregular to lobulated structure with uneven density and a darker central region, surrounded by smoother pale pink rounded elements, soft-edged, slightly grainy surfaces, and natural shape variation, rendered against a light uniform background."
Spherocyte,"Single continuous smooth rounded structure with a faintly darker central area, evenly shaped and softly defined, minimal texture, rendered in pale pink to light purple tones against a clear light background."
Target Cell,"Single continuous round to slightly oval structure with a lighter central zone and subtly darker outer rim, soft-edged mildly blurred surfaces, occasionally showing a faint concentric or halo-like pattern, rendered in pale purple tones against a light uniform background."
Tear Drop,"Single continuous teardrop-shaped structure with a looped to irregular outline, hollow or lighter center, uneven thickness, soft-edged slightly blurred surfaces, and mild shape distortion, rendered in pale purple tones against a light uniform background."
